,n steps,ACC,ROC AUC,PR AUC,eps
0,0,0.7646212121212121,0.7645250356766149,0.6900351660988642,0.001
1,1,0.7646212121212121,0.7645250356766149,0.6900351660988642,0.001
2,2,0.7596212121212121,0.7595344460300717,0.6847173775701176,0.001
3,3,0.7554545454545455,0.7553756213246192,0.6803299675779291,0.001
4,4,0.7504545454545455,0.7503657283889338,0.6751797194351358,0.001
5,5,0.7443939393939394,0.7442845029058344,0.6690318181421279,0.001
6,6,0.7389393939393939,0.7387906489352167,0.6636200500248581,0.001
7,7,0.7331060606060606,0.7329007328355842,0.6579298743492226,0.001
8,8,0.7273484848484848,0.7271035414641547,0.6523265802146245,0.001
9,9,0.7212878787878788,0.720998186869627,0.6465002140141728,0.001
10,10,0.7162878787878788,0.7159593390002275,0.6417472645381153,0.001
11,11,0.7096969696969697,0.7093400343322784,0.6355019411365628,0.001
12,12,0.7032575757575757,0.7028144884973079,0.6295965658799334,0.001
13,13,0.6975757575757576,0.6970762410980813,0.6244034573542844,0.001
14,14,0.6906818181818182,0.6901101666287495,0.618183452177737,0.001
15,15,0.6840909090909091,0.6834377779156585,0.6123325124948493,0.001
16,16,0.6771969696969697,0.6764524001571839,0.6062985227815928,0.001
17,17,0.6695454545454546,0.6686942014298222,0.5996999237798698,0.001
18,18,0.6634848484848485,0.6625405886124381,0.5945516063511659,0.001
19,19,0.6570454545454546,0.6560150427774676,0.5891346201983441,0.001
20,20,0.6503787878787879,0.6492981875590301,0.5835684972009422,0.001
21,21,0.6431818181818182,0.6420287756888862,0.5776717102718957,0.001
22,22,0.6359090909090909,0.6346328583345398,0.5718435332259063,0.001
23,23,0.6284848484848485,0.6270900981020732,0.5659836618078226,0.001
24,24,0.6221212121212121,0.6206524511730196,0.5610282664938377,0.001
25,25,0.6150757575757576,0.6135057530695677,0.5556394374129074,0.001
26,26,0.6083333333333333,0.6066865214783562,0.5505669912464632,0.001
27,27,0.6024242424242424,0.6007087064728065,0.5461970127471999,0.001
28,28,0.5959090909090909,0.5941242166656325,0.5414612511055084,0.001
29,29,0.5886363636363636,0.5867620800672857,0.5362789559494695,0.001
30,30,0.581060606060606,0.5791062577126982,0.5310001852743291,0.001
31,31,0.5749242424242424,0.5728309652333974,0.526799300210377,0.001
32,32,0.5665909090909091,0.5643878444430657,0.5212362067974218,0.001
33,33,0.5596969696969697,0.5574410732628764,0.5167622786651854,0.001
34,34,0.5534848484848485,0.551140617567372,0.5128091780664854,0.001
35,35,0.5476515151515151,0.5452217465340254,0.5091752834639565,0.001
36,36,0.5428030303030303,0.5403393931873177,0.5062309190514422,0.001
37,37,0.5362121212121213,0.5336525270073698,0.5022948637634362,0.001
38,38,0.5301515151515152,0.5274892625454145,0.49875904907448654,0.001
39,39,0.5237121212121212,0.5209395875990155,0.49509833574974094,0.001
40,40,0.5178787878787878,0.5150158907433835,0.49187500180926885,0.001
41,41,0.5100757575757576,0.5071784106499003,0.4877414596169899,0.001
42,42,0.5049242424242424,0.5019492875018097,0.485069384365159,0.001
43,43,0.49863636363636366,0.49561401694553026,0.48192460862802283,0.001
44,44,0.49242424242424243,0.48936181947288226,0.47892154459139047,0.001
45,45,0.48598484848484846,0.4828700543939112,0.4759101990717933,0.001
46,46,0.4796969696969697,0.4765251321930605,0.473073515179141,0.001
47,47,0.47356060606060607,0.47028362046975936,0.47039140767531384,0.001
48,48,0.4677272727272727,0.4643792269032698,0.4679503043729447,0.001
49,49,0.4622727272727273,0.45885641799893834,0.46575461002221563,0.001
50,50,0.455,0.45152323633430536,0.4629646047569521,0.001
0,0,0.7646212121212121,0.7645250356766149,0.6900351660988642,0.005623413251903491
1,1,0.7646212121212121,0.7645250356766149,0.6900351660988642,0.005623413251903491
2,2,0.735530303030303,0.7353563869757951,0.6602659093525852,0.005623413251903491
3,3,0.7023484848484849,0.7018899988280146,0.6287742922179542,0.005623413251903491
4,4,0.6647727272727273,0.6638611404107464,0.5956259383792673,0.005623413251903491
5,5,0.6259848484848485,0.6245658483450875,0.56402539681039,0.005623413251903491
6,6,0.5899242424242425,0.5880536769318802,0.537188008021177,0.005623413251903491
7,7,0.5506818181818182,0.5483033787650031,0.5110561801931295,0.005623413251903491
8,8,0.5176515151515152,0.5147908006039172,0.49175407667350163,0.005623413251903491
9,9,0.4822727272727273,0.4791324550336773,0.4742260190765338,0.005623413251903491
10,10,0.4489393939393939,0.44541305591749214,0.46075364409462016,0.005623413251903491
11,11,0.416969696969697,0.4130200685266764,0.4509428822033864,0.005623413251903491
12,12,0.38484848484848483,0.38057192888116764,0.4443374778297481,0.005623413251903491
13,13,0.35659090909090907,0.35206131551915504,0.44132582342255394,0.005623413251903491
14,14,0.3303030303030303,0.3255368727292782,0.44104236210025977,0.005623413251903491
15,15,0.30484848484848487,0.2998586723473489,0.4431828797939899,0.005623413251903491
16,16,0.2822727272727273,0.27713939042970503,0.44680690264160405,0.005623413251903491
17,17,0.26446969696969697,0.25927247282027943,0.45059008287370206,0.005623413251903491
18,18,0.2478030303030303,0.24257443830875614,0.4548315595626227,0.005623413251903491
19,19,0.23257575757575757,0.22740653416337478,0.4585491670487972,0.005623413251903491
20,20,0.22053030303030302,0.21540436943737803,0.4619056536391473,0.005623413251903491
21,21,0.20772727272727273,0.2026969452544932,0.46524067865580715,0.005623413251903491
22,22,0.1968181818181818,0.19189744438239817,0.467951492524631,0.005623413251903491
23,23,0.1871969696969697,0.1824040178417544,0.47007123244196364,0.005623413251903491
24,24,0.1796969696969697,0.17499534652851026,0.4718990675428172,0.005623413251903491
25,25,0.1731060606060606,0.16851116488455942,0.473192176233503,0.005623413251903491
26,26,0.16643939393939394,0.1619439101569771,0.4746500152142185,0.005623413251903491
27,27,0.16022727272727272,0.15586544228661248,0.47545664055253506,0.005623413251903491
28,28,0.15333333333333332,0.14909722653099217,0.47668992273920435,0.005623413251903491
29,29,0.1475,0.143352085099929,0.478017405082673,0.005623413251903491
