,n steps,MSE,MAE,MAPE,eps
0,0,1450.2931,26.813862,0.13212368,0.001
1,1,1450.3107,26.814564,0.1321295,0.001
2,2,1450.3279,26.81527,0.13213536,0.001
3,3,1450.3452,26.815975,0.13214119,0.001
4,4,1450.3625,26.816675,0.13214701,0.001
5,5,1450.3799,26.817379,0.13215284,0.001
6,6,1450.3972,26.818083,0.1321587,0.001
7,7,1450.4148,26.818789,0.13216452,0.001
8,8,1450.432,26.819494,0.13217036,0.001
9,9,1450.4495,26.820198,0.13217622,0.001
10,10,1450.4668,26.820902,0.13218205,0.001
11,11,1450.4841,26.82161,0.13218789,0.001
12,12,1450.5015,26.822313,0.13219373,0.001
13,13,1450.519,26.82302,0.13219959,0.001
14,14,1450.5364,26.823725,0.13220544,0.001
15,15,1450.5537,26.824429,0.1322113,0.001
16,16,1450.5712,26.825136,0.13221714,0.001
17,17,1450.5886,26.825844,0.132223,0.001
18,18,1450.6058,26.826548,0.13222885,0.001
19,19,1450.6234,26.827253,0.13223471,0.001
20,20,1450.6409,26.827961,0.13224058,0.001
21,21,1450.6582,26.828669,0.13224642,0.001
22,22,1450.6757,26.829376,0.13225229,0.001
23,23,1450.693,26.830082,0.13225816,0.001
24,24,1450.7107,26.830786,0.13226402,0.001
25,25,1450.7279,26.8315,0.13226989,0.001
26,26,1450.7454,26.832207,0.13227575,0.001
27,27,1450.7627,26.832914,0.13228162,0.001
28,28,1450.7802,26.83362,0.1322875,0.001
29,29,1450.7975,26.83433,0.13229336,0.001
30,30,1450.8152,26.835037,0.13229923,0.001
31,31,1450.8324,26.835745,0.1323051,0.001
32,32,1450.85,26.836454,0.13231097,0.001
33,33,1450.8674,26.837164,0.13231687,0.001
34,34,1450.8848,26.837875,0.13232276,0.001
35,35,1450.9025,26.838581,0.13232861,0.001
36,36,1450.9198,26.839289,0.13233452,0.001
37,37,1450.9373,26.839996,0.13234039,0.001
38,38,1450.9547,26.840706,0.13234627,0.001
39,39,1450.9722,26.841415,0.13235214,0.001
40,40,1450.9897,26.842123,0.13235803,0.001
41,41,1451.0071,26.842833,0.1323639,0.001
42,42,1451.0247,26.843542,0.13236979,0.001
43,43,1451.042,26.84425,0.13237567,0.001
44,44,1451.0594,26.844963,0.13238156,0.001
45,45,1451.077,26.84567,0.13238744,0.001
46,46,1451.0945,26.84638,0.13239333,0.001
47,47,1451.112,26.84709,0.1323992,0.001
48,48,1451.1295,26.8478,0.13240509,0.001
49,49,1451.1469,26.84851,0.13241096,0.001
0,0,1450.382,26.817526,0.13215424,0.005623413251903491
1,1,1450.4794,26.821476,0.13218704,0.005623413251903491
2,2,1450.577,26.82544,0.13221987,0.005623413251903491
3,3,1450.6746,26.829403,0.13225275,0.005623413251903491
4,4,1450.7723,26.833374,0.13228568,0.005623413251903491
5,5,1450.8704,26.837349,0.13231868,0.005623413251903491
6,6,1450.9684,26.841326,0.13235168,0.005623413251903491
7,7,1451.0665,26.84531,0.13238473,0.005623413251903491
8,8,1451.1644,26.849297,0.13241778,0.005623413251903491
9,9,1451.2627,26.853281,0.13245086,0.005623413251903491
10,10,1451.3611,26.857271,0.13248396,0.005623413251903491
11,11,1451.4596,26.861263,0.13251708,0.005623413251903491
12,12,1451.5581,26.865253,0.13255021,0.005623413251903491
13,13,1451.6569,26.869251,0.13258336,0.005623413251903491
14,14,1451.7555,26.873251,0.13261655,0.005623413251903491
15,15,1451.8544,26.877253,0.13264973,0.005623413251903491
16,16,1451.9532,26.881256,0.13268298,0.005623413251903491
17,17,1452.0522,26.885267,0.13271628,0.005623413251903491
18,18,1452.1515,26.889286,0.13274963,0.005623413251903491
19,19,1452.2507,26.893305,0.132783,0.005623413251903491
20,20,1452.35,26.897327,0.13281639,0.005623413251903491
21,21,1452.4493,26.901356,0.13284981,0.005623413251903491
22,22,1452.549,26.905384,0.13288331,0.005623413251903491
23,23,1452.6486,26.909426,0.13291684,0.005623413251903491
24,24,1452.7484,26.91346,0.13295037,0.005623413251903491
25,25,1452.848,26.917505,0.13298394,0.005623413251903491
26,26,1452.948,26.921555,0.13301757,0.005623413251903491
27,27,1453.048,26.925604,0.1330512,0.005623413251903491
28,28,1453.1482,26.929659,0.13308486,0.005623413251903491
29,29,1453.2484,26.933714,0.13311855,0.005623413251903491
30,30,1453.3488,26.937778,0.13315228,0.005623413251903491
31,31,1453.4491,26.941835,0.13318604,0.005623413251903491
32,32,1453.5496,26.945902,0.1332198,0.005623413251903491
33,33,1453.6503,26.949972,0.13325359,0.005623413251903491
34,34,1453.7509,26.954046,0.13328743,0.005623413251903491
35,35,1453.8517,26.958124,0.13332132,0.005623413251903491
36,36,1453.9525,26.962212,0.13335527,0.005623413251903491
37,37,1454.0533,26.9663,0.13338923,0.005623413251903491
38,38,1454.1547,26.970394,0.13342325,0.005623413251903491
39,39,1454.2556,26.974493,0.13345729,0.005623413251903491
40,40,1454.357,26.978592,0.13349137,0.005623413251903491
41,41,1454.4584,26.982698,0.13352546,0.005623413251903491
42,42,1454.5599,26.986803,0.13355958,0.005623413251903491
43,43,1454.6615,26.990913,0.13359375,0.005623413251903491
44,44,1454.7631,26.995028,0.13362789,0.005623413251903491
45,45,1454.865,26.999142,0.13366209,0.005623413251903491
46,46,1454.9668,27.00326,0.13369632,0.005623413251903491
47,47,1455.0686,27.007385,0.13373059,0.005623413251903491
48,48,1455.1709,27.01151,0.13376488,0.005623413251903491
49,49,1455.273,27.015638,0.13379917,0.005623413251903491
0,0,1450.8826,26.838137,0.13232622,0.03162277660168379
1,1,1451.4341,26.86048,0.13251156,0.03162277660168379
2,2,1451.989,26.882952,0.13269807,0.03162277660168379
3,3,1452.5469,26.905499,0.13288517,0.03162277660168379
4,4,1453.1077,26.928185,0.13307358,0.03162277660168379
5,5,1453.6718,26.950972,0.13326283,0.03162277660168379
6,6,1454.2389,26.97388,0.13345318,0.03162277660168379
7,7,1454.8091,26.996931,0.13364471,0.03162277660168379
8,8,1455.3823,27.020092,0.13383713,0.03162277660168379
9,9,1455.9589,27.04334,0.13403037,0.03162277660168379
10,10,1456.5383,27.066658,0.13422425,0.03162277660168379
11,11,1457.1208,27.090082,0.13441902,0.03162277660168379
12,12,1457.7067,27.11361,0.13461468,0.03162277660168379
13,13,1458.2952,27.137217,0.13481098,0.03162277660168379
14,14,1458.887,27.160908,0.13500804,0.03162277660168379
15,15,1459.482,27.184689,0.13520585,0.03162277660168379
16,16,1460.08,27.208525,0.13540411,0.03162277660168379
17,17,1460.6809,27.232433,0.13560297,0.03162277660168379
18,18,1461.2849,27.256405,0.13580233,0.03162277660168379
19,19,1461.8921,27.280436,0.13600217,0.03162277660168379
20,20,1462.5022,27.30452,0.13620247,0.03162277660168379
21,21,1463.1155,27.328665,0.13640332,0.03162277660168379
22,22,1463.7317,27.35287,0.13660464,0.03162277660168379
23,23,1464.3513,27.377106,0.13680623,0.03162277660168379
24,24,1464.9735,27.401407,0.13700834,0.03162277660168379
25,25,1465.599,27.425776,0.13721105,0.03162277660168379
26,26,1466.2275,27.4502,0.13741419,0.03162277660168379
27,27,1466.8593,27.474686,0.1376179,0.03162277660168379
28,28,1467.494,27.499233,0.13782206,0.03162277660168379
29,29,1468.1318,27.523811,0.13802642,0.03162277660168379
30,30,1468.7727,27.548399,0.13823093,0.03162277660168379
31,31,1469.4164,27.573017,0.13843563,0.03162277660168379
32,32,1470.0632,27.597687,0.13864079,0.03162277660168379
33,33,1470.7133,27.6224,0.13884625,0.03162277660168379
34,34,1471.3661,27.647135,0.1390519,0.03162277660168379
35,35,1472.0222,27.6719,0.13925773,0.03162277660168379
36,36,1472.6814,27.696695,0.1394639,0.03162277660168379
37,37,1473.3434,27.72152,0.13967028,0.03162277660168379
38,38,1474.0087,27.746384,0.13987695,0.03162277660168379
39,39,1474.6768,27.77126,0.14008367,0.03162277660168379
40,40,1475.348,27.796177,0.14029063,0.03162277660168379
41,41,1476.0223,27.821093,0.14049765,0.03162277660168379
42,42,1476.6995,27.84602,0.14070472,0.03162277660168379
43,43,1477.3796,27.87096,0.14091186,0.03162277660168379
44,44,1478.0629,27.895914,0.14111912,0.03162277660168379
45,45,1478.7491,27.920895,0.14132655,0.03162277660168379
46,46,1479.4385,27.945889,0.14153408,0.03162277660168379
47,47,1480.1309,27.970896,0.14174172,0.03162277660168379
48,48,1480.8262,27.995922,0.14194946,0.03162277660168379
49,49,1481.5243,28.020947,0.1421572,0.03162277660168379
0,0,1453.7395,26.954227,0.13329446,0.1778279410038923
1,1,1456.9645,27.083027,0.13436414,0.1778279410038923
2,2,1460.2886,27.215391,0.1354648,0.1778279410038923
3,3,1463.7112,27.350334,0.13658743,0.1778279410038923
4,4,1467.2305,27.487045,0.13772456,0.1778279410038923
5,5,1470.8484,27.625582,0.13887694,0.1778279410038923
6,6,1474.5636,27.76533,0.14003895,0.1778279410038923
7,7,1478.3748,27.905895,0.14120723,0.1778279410038923
8,8,1482.2826,28.04705,0.1423795,0.1778279410038923
9,9,1486.283,28.188309,0.14355157,0.1778279410038923
10,10,1490.3799,28.330107,0.14472745,0.1778279410038923
11,11,1494.5714,28.47224,0.1459051,0.1778279410038923
12,12,1498.8568,28.614643,0.14708419,0.1778279410038923
13,13,1503.2352,28.757135,0.14826317,0.1778279410038923
14,14,1507.7074,28.899916,0.14944345,0.1778279410038923
