,n steps,MSE,MAE,MAPE,eps
0,0,135.71204,5.923585,0.085333146,0.001
1,1,135.73729,5.9257083,0.085373335,0.001
2,2,135.76257,5.927831,0.085413516,0.001
3,3,135.78784,5.929955,0.0854537,0.001
4,4,135.81311,5.932078,0.08549389,0.001
5,5,135.83841,5.9342012,0.085534066,0.001
6,6,135.86371,5.936325,0.08557425,0.001
7,7,135.88902,5.938449,0.08561443,0.001
8,8,135.91435,5.9405713,0.08565462,0.001
9,9,135.93968,5.942695,0.085694805,0.001
10,10,135.96501,5.9448185,0.085734986,0.001
11,11,135.99037,5.946942,0.085775174,0.001
12,12,136.01573,5.949065,0.08581536,0.001
13,13,136.0411,5.951189,0.08585556,0.001
14,14,136.06647,5.953312,0.08589574,0.001
15,15,136.09187,5.9554353,0.08593592,0.001
16,16,136.11726,5.957559,0.08597612,0.001
17,17,136.14268,5.9596825,0.086016305,0.001
18,18,136.16809,5.961806,0.0860565,0.001
19,19,136.1935,5.9639297,0.08609668,0.001
20,20,136.21895,5.9660525,0.08613688,0.001
21,21,136.24442,5.9681764,0.086177066,0.001
22,22,136.26985,5.9703,0.086217254,0.001
23,23,136.2953,5.9724236,0.08625745,0.001
24,24,136.32079,5.9745464,0.086297646,0.001
25,25,136.34627,5.9766707,0.086337835,0.001
26,26,136.37177,5.9787946,0.08637803,0.001
27,27,136.39726,5.9809175,0.08641822,0.001
28,28,136.42278,5.9830413,0.086458415,0.001
29,29,136.44829,5.985164,0.08649861,0.001
30,30,136.47383,5.987288,0.08653881,0.001
31,31,136.49937,5.989412,0.086579,0.001
32,32,136.52492,5.991535,0.08661919,0.001
33,33,136.55048,5.993658,0.086659394,0.001
34,34,136.57607,5.995782,0.08669959,0.001
35,35,136.60162,5.997906,0.086739786,0.001
36,36,136.62721,6.000029,0.08677998,0.001
37,37,136.65282,6.0021534,0.086820185,0.001
38,38,136.67842,6.0042768,0.08686039,0.001
39,39,136.70404,6.0064006,0.08690058,0.001
40,40,136.72964,6.008524,0.08694078,0.001
41,41,136.75528,6.010648,0.086980976,0.001
42,42,136.78094,6.0127707,0.08702119,0.001
43,43,136.8066,6.014895,0.08706138,0.001
44,44,136.83224,6.017019,0.08710159,0.001
45,45,136.85793,6.019142,0.08714178,0.001
46,46,136.88362,6.0212665,0.08718199,0.001
47,47,136.9093,6.0233893,0.087222196,0.001
